City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,buala,-8.145,159.5921,29.3,72,98,1.73,SB,1682380511
82,abha,18.2164,42.5053,12.9,71,0,0.0,SA,1682380512
83,hami,42.8,93.45,14.69,17,20,1.87,CN,1682380512
84,blagoyevo,63.3667,47.9167,4.12,97,63,2.92,RU,1682380512
85,debre sina,9.85,39.7667,12.02,85,39,1.61,ET,1682380513
86,khatanga,71.9667,102.5,-6.51,92,9,3.74,RU,1682380513
87,haines junction,60.7522,-137.5108,0.97,55,99,3.6,CA,1682380513
88,lagoa,39.05,-27.9833,16.08,83,64,4.87,PT,1682380513
89,lompoc,34.6391,-120.4579,22.14,66,19,13.86,US,1682380514
90,lavrentiya,65.5833,-171.0,-6.47,73,4,4.16,RU,1682380514
91,labuhan,-6.8844,112.2051,26.85,82,90,2.6,ID,1682380514
92,severo-kurilsk,50.6789,156.125,1.19,82,43,8.46,RU,1682380514
93,chokurdakh,70.6333,147.9167,-4.49,86,5,3.22,RU,1682380515
94,san cristobal,7.7669,-72.225,21.1,97,99,0.63,VE,1682380515
95,grindavik,63.8424,-22.4338,3.26,87,75,3.6,IS,1682380515
96,khasan,42.4308,130.6434,7.04,68,100,3.52,RU,1682380516
97,umm lajj,25.0213,37.2685,25.72,56,42,4.88,SA,1682380516
98,bethel,41.3712,-73.414,12.74,47,69,1.83,US,1682380516
99,geraldton,-28.7667,114.6,13.23,94,100,3.09,AU,1682380516
100,meulaboh,4.1363,96.1285,25.06,89,100,2.05,ID,1682380517
101,singapore,1.2897,103.8501,28.35,91,75,1.54,SG,1682380048
102,anadyr,64.75,177.4833,-5.72,62,0,3.0,RU,1682380517
103,klaksvik,62.2266,-6.589,-0.49,61,100,9.23,FO,1682380518
104,lebu,-37.6167,-73.65,11.3,89,37,1.9,CL,1682380518
105,coquimbo,-29.9533,-71.3436,14.85,94,20,3.6,CL,1682380518
106,tuktoyaktuk,69.4541,-133.0374,-18.0,78,75,3.09,CA,1682380518
107,kapuskasing,49.4169,-82.4331,0.05,74,75,4.63,CA,1682380518
108,faanui,-16.4833,-151.75,27.59,78,37,4.19,PF,1682380519
109,manokwari,-0.8667,134.0833,28.09,71,75,1.13,ID,1682380519
110,manzanillo,20.3433,-77.1167,25.57,67,49,1.63,CU,1682380519
111,dongsheng,39.8161,109.9776,3.73,57,32,8.12,CN,1682380519
112,flin flon,54.7682,-101.865,6.91,23,40,3.09,CA,1682380520
113,ushuaia,-54.8,-68.3,3.81,93,75,3.09,AR,1682380520
114,soyo,-6.1349,12.3689,26.7,87,100,2.41,AO,1682380520
115,barrow,71.2906,-156.7887,-12.99,78,40,3.6,US,1682380521
116,bilma,18.6853,12.9164,30.25,10,65,2.58,NE,1682380521
117,mount gambier,-37.8333,140.7667,19.1,56,83,3.44,AU,1682380521
118,isangel,-19.55,169.2667,28.01,68,96,3.12,VU,1682380522
119,frontera,26.9333,-101.45,21.29,57,10,2.68,MX,1682380522
120,darovskoy,58.77,47.9564,8.75,71,7,2.6,RU,1682380523
121,new norfolk,-42.7826,147.0587,14.72,64,100,2.08,AU,1682380523
122,tiznit,29.5833,-9.5,22.46,45,5,1.03,MA,1682380523
123,tura,25.5198,90.2201,21.45,58,0,1.34,IN,1682380524
124,cabo san lucas,22.8909,-109.9124,28.12,55,97,6.27,MX,1682380524
125,kaitangata,-46.2817,169.8464,16.63,54,84,7.52,NZ,1682380524
126,valparaiso,-33.0393,-71.6273,16.67,63,20,4.63,CL,1682380524
127,laibin,23.7,109.2667,12.97,83,100,4.77,CN,1682380525
128,whitianga,-36.8333,175.7,16.63,60,5,4.69,NZ,1682380525
129,qaanaaq,77.484,-69.3632,-6.95,93,100,1.22,GL,1682380525
130,selishche,56.8879,33.2691,8.1,73,54,2.25,RU,1682380526
131,kaeo,-35.1,173.7833,18.51,74,7,2.35,NZ,1682380526
132,vila velha,-20.3297,-40.2925,23.97,88,0,3.09,BR,1682380527
133,salamanca,40.8333,-6.0,12.11,85,65,1.36,ES,1682380527
134,omboue,-1.5746,9.2618,25.94,89,83,1.18,GA,1682380527
135,norman wells,65.282,-126.8329,-9.98,73,100,3.6,CA,1682380527
136,milkovo,54.7167,158.6167,2.39,56,96,3.55,RU,1682380528
137,djibo,14.1022,-1.6306,33.19,13,21,2.36,BF,1682380528
138,saint-philippe,-21.3585,55.7679,24.77,78,32,2.71,RE,1682380528
139,businga,3.3333,20.8833,22.99,76,18,0.74,CD,1682380528
140,abu kamal,34.4506,40.9171,19.37,48,0,5.23,SY,1682380529
141,hilo,19.7297,-155.09,27.93,84,41,3.13,US,1682380529
142,cedral,23.8,-100.7333,27.06,11,75,5.16,MX,1682380529
143,norilsk,69.3535,88.2027,-5.73,84,78,3.67,RU,1682380529
144,pirovskoye,57.6267,92.2658,4.45,90,99,2.97,RU,1682380530
145,taoudenni,22.6783,-3.9836,30.16,12,0,4.94,ML,1682380530
146,los corrales de buelna,43.2636,-4.0726,15.61,85,100,1.36,ES,1682380530
